,mse,rmse,r2,mae,mape,time
base,0.0008350233983771288,0.028103320054049936,0.9024283449678919,0.022656648456183783,0.029663780996940385,0.970374345779419
corr,0.0005833217915979633,0.023282821869049026,0.9330934550767489,0.01878178109344871,0.02469183211486511,0.9367337226867676
mi,0.0005833217915979633,0.023282821869049026,0.9330934550767489,0.01878178109344871,0.02469183211486511,0.969130277633667
sfs,0.00044223849521932287,0.02052201581962515,0.9479594407705705,0.016474749154581633,0.021552264703531554,0.31650662422180176
rfe,0.0005833217915979633,0.023282821869049026,0.9330934550767489,0.01878178109344871,0.02469183211486511,0.3161294460296631
