,mse,rmse,r2,mae,mape,time
base,0.0008575416487851305,0.02851563174628749,0.8941717671522202,0.023097242061843305,0.030912560426620828,1.7865161895751953
corr,0.0005998792058222287,0.023385013306740247,0.9323340650835779,0.018929968071681028,0.02501373317475738,1.3725697994232178
mi,0.0005998792058222287,0.023385013306740247,0.9323340650835779,0.018929968071681028,0.02501373317475738,1.2656395435333252
sfs,0.0005843728354595065,0.023830411675977402,0.9279566941233293,0.019088408761644467,0.025400603117096368,1.3135521411895752
rfe,0.0005998792058222287,0.023385013306740247,0.9323340650835779,0.018929968071681028,0.02501373317475738,1.2410869598388672
