,mse,rmse,r2,mae,mape,time
base,0.0006725418238083192,0.02520275177250806,0.9212186297903999,0.020231905713828557,0.027007454965315262,0.3073296546936035
corr,0.0005614919681033949,0.02282397103055091,0.9357516115433175,0.01799277430451563,0.023831152368992775,0.22427845001220703
mi,0.0005614919681033944,0.022823971030550897,0.9357516115433178,0.017992774304515624,0.02383115236899276,0.22783684730529785
sfs,0.0005614919681033948,0.022823971030550907,0.9357516115433178,0.01799277430451563,0.023831152368992775,0.22768759727478027
rfe,0.0005707871989845926,0.023407009367576902,0.9314670443164743,0.018745514316459218,0.02493195413517667,0.2421712875366211
