,mse,rmse,r2,mae,mape,time
base,0.0006722662100651782,0.025144078302556154,0.9215527200770978,0.02024737940414283,0.027039079564094827,5.115788698196411
corr,0.0005722359664019322,0.02295490250841217,0.9349489194229059,0.018131012017904163,0.024030329879485147,2.754000663757324
mi,0.0005722359664019322,0.022954902508412173,0.9349489194229059,0.01813101201790416,0.02403032987948514,2.94675612449646
sfs,0.0005722359664019324,0.02295490250841218,0.9349489194229059,0.018131012017904166,0.024030329879485147,1.8755834102630615
rfe,0.0005754753934705697,0.023462492341169025,0.9312389440205925,0.018778800421175593,0.024992317930772428,1.8444433212280273
