,mse,rmse,r2,mae,mape,time
base,0.0005848310005646057,0.023497851931538822,0.9309983706172483,0.01880832554541849,0.02459655966176939,0.17352628707885742
corr,0.0005149163254886782,0.021540585463849668,0.9424312843397593,0.01679656338077188,0.02218195667565844,0.17070937156677246
mi,0.0005149163254886782,0.021540585463849668,0.9424312843397593,0.01679656338077188,0.02218195667565844,0.14702296257019043
sfs,0.00043616915985698266,0.020013641230715456,0.9500215455102132,0.01590566377355391,0.02084034829136514,0.021999835968017578
rfe,0.0005101571244595002,0.02173294406922957,0.9416771589666744,0.017184012292383973,0.02259125774918399,0.0185701847076416
