,mse,rmse,r2,mae,mape,time
base,0.0005725618893519355,0.022742589901694865,0.9359850743466418,0.018851681242478775,0.02483665462097378,0.03254818916320801
corr,0.0005340925488780645,0.021607261423457747,0.9416355929297349,0.017112160309343,0.022664189635294915,0.027145862579345703
mi,0.0005340925488780645,0.021607261423457747,0.9416355929297349,0.017112160309343,0.022664189635294915,0.028899192810058594
sfs,0.0004889184086932321,0.021085725587628258,0.9447906559534192,0.017453599755189828,0.02311991645889088,0.027063608169555664
rfe,0.0005356188364003036,0.022068665261998605,0.939640377259232,0.01820078614891031,0.02401395635820685,0.028536319732666016
