,mse,rmse,r2,mae,mape,time
base,0.0006638966289970531,0.025075484636321498,0.9214731700740694,0.020565296370617638,0.027194745266004124,0.053897857666015625
corr,0.0005559465246814078,0.02260677946991131,0.9369644014706395,0.017633726020758474,0.023366080170671013,0.04841041564941406
mi,0.0005559465246814078,0.02260677946991131,0.9369644014706395,0.017633726020758474,0.023366080170671013,0.04002237319946289
sfs,0.0005198733749604032,0.022328019858143276,0.9379940256977949,0.018177626929921236,0.023956005701548783,0.04310441017150879
rfe,0.0005687073528022381,0.023248994884900842,0.9333619188552228,0.019055345629375203,0.025136391791620652,0.05103659629821777
