,mse,rmse,r2,mae,mape,time
base,0.0006262380085579292,0.023156767330608386,0.9322769685206105,0.019321152073628427,0.025467321740326558,0.1065371036529541
corr,0.0005584047821993295,0.021840033769395223,0.9397508462275349,0.017700464224051395,0.023306161066943432,0.0780785083770752
mi,0.0005584047821993295,0.021840033769395223,0.9397508462275349,0.017700464224051395,0.023306161066943432,0.07988595962524414
sfs,0.0005473196408422784,0.022098571989454373,0.938897800995485,0.01840339484611235,0.02424693030721773,0.05812644958496094
rfe,0.0005674709891848931,0.022245540145672593,0.9379326270011931,0.018475754023452032,0.02436986964234787,0.06797242164611816
